,a1,a2,a3,a4,C,fitness
445,0.0,0.0,-1.0,0.5,-0.125,1
446,0.0,0.0,-1.0,0.5,-0.125,1
447,0.0,0.0,-1.0,0.5,-0.125,6
448,0.0,0.0,-1.0,0.5,-0.125,11
449,0.0,0.0,-1.0,0.5,-0.125,1
450,0.0,0.0,-1.0,0.5,0.375,0
451,0.0,0.0,-1.0,0.5,-0.125,1
452,0.0,0.0,-1.0,0.5,-0.125,3
453,0.0,0.0,-1.0,0.5,-0.125,9
454,0.0,0.0,-1.0,0.5,-0.125,1
455,0.0,0.0,-1.0,0.5,-0.125,4
456,0.0,0.0,-1.0,0.5,-0.125,3
457,0.0,-0.5,-1.0,0.5,-0.125,0
458,0.0,0.0,-1.0,0.5,-0.125,3
459,0.0,0.0,-1.0,0.5,-0.125,4
460,0.25,0.0,-1.0,0.5,-0.125,1
461,0.0,0.0,-1.0,0.5,-0.125,6
462,0.0,0.0,-1.0,0.5,-0.125,2
463,0.125,0.0,-1.0,0.5,-0.125,1
464,0.0,0.0,-1.0,0.5,-0.125,2
465,0.125,0.0,-1.0,0.5,-0.125,1
466,0.0,0.0,-1.0,0.5,-0.125,1
467,-0.375,0.0,-1.0,0.5,-0.125,0
468,0.125,0.0,-1.0,0.5,-0.125,1
469,0.0,0.0,-1.0,0.5,-0.125,7
470,0.0,0.0,-1.0,0.5,0.625,0
471,0.125,0.0,-1.0,0.5,0.375,0
472,0.125,0.0,-1.0,0.5,-0.125,2
473,0.0,0.0,-1.0,0.5,-0.125,6
474,0.0,0.0,-1.0,0.5,-0.125,3
475,0.125,0.0,-1.0,0.5,-0.125,2
476,0.0,0.0,-1.0,0.5,-0.125,1
477,0.125,-0.5,-1.0,0.5,-0.125,0
478,0.0,0.0,-1.0,0.5,-0.125,1
479,0.125,-0.5,-1.0,0.5,0.375,0
480,0.0,0.0,-1.0,0.5,-0.125,18
481,0.125,0.0,-1.0,0.5,-0.125,5
482,0.125,0.0,-1.0,0.5,-0.125,4
483,0.0,0.0,-1.0,0.5,-0.125,12
484,0.125,0.0,-1.0,0.5,-0.125,2
485,0.0,0.0,-1.0,0.5,-0.125,1
486,0.25,0.0,-1.0,0.5,-0.125,3
487,0.125,0.0,-1.0,0.5,-0.125,3
488,0.0,0.0,-1.0,0.5,-0.125,3
489,0.125,0.0,-1.0,0.5,-0.125,2
490,0.0,0.0,-1.0,0.25,-0.125,3
491,0.0,0.0,-1.0,0.5,0.375,0
492,0.0,0.0,-1.0,0.5,-0.125,21
493,0.125,0.0,-1.0,0.5,-0.125,6
494,0.125,0.0,-1.0,0.5,-0.125,2
495,0.0,0.0,-1.0,0.5,-0.125,1
496,0.0,0.0,-1.0,0.5,-0.125,6
497,0.125,0.0,-1.0,0.5,-0.125,1
498,0.125,0.0,-1.0,0.5,-0.125,2
499,0.0,0.0,-1.0,0.5,-0.125,1
500,0.0,0.0,-1.0,0.5,-0.125,6
501,0.0,0.0,-1.0,0.125,-0.125,0
502,0.0,0.0,-1.0,0.25,-0.125,2
503,0.0,0.0,-1.0,0.375,-0.125,16
504,0.0,0.0,-1.0,0.375,0.375,0
505,0.0,0.0,-1.0,0.25,0.375,0
506,0.0,0.0,-1.0,0.625,-0.125,1
507,0.0,0.0,-1.0,0.625,-0.125,1
508,0.0,0.0,-1.0,0.0,-0.125,0
509,-0.5,0.0,-1.0,0.75,-0.125,3
510,0.0,0.0,-1.0,0.5,-0.125,2
511,0.0,0.0,-1.0,0.125,-0.125,1
512,0.0,0.0,-1.0,-0.25,-0.125,0
513,0.0,0.0,-1.0,0.125,-0.125,1
514,-0.5,0.0,-1.0,0.25,-0.125,0
515,0.0,0.0,-1.0,0.625,-0.125,5
516,0.0,0.0,-1.0,0.375,-0.125,9
517,0.0,0.0,-1.0,0.25,-0.125,4
518,0.0,0.0,-1.0,0.875,-0.125,0
519,0.0,0.0,-1.0,0.125,-0.125,0
520,0.125,0.0,-1.0,0.25,-0.125,2
521,0.0,0.0,-1.0,0.0,-0.125,0
522,0.125,-0.5,-1.0,0.75,-0.125,0
523,0.0,0.0,-1.0,0.0,-0.125,0
524,0.125,0.0,-1.0,0.25,-0.125,4
525,0.0,0.0,-1.0,-0.25,-0.125,0
526,0.125,0.0,-1.0,0.25,-0.125,5
527,0.125,0.0,-1.0,0.0,-0.125,0
528,0.125,0.0,-1.0,0.5,0.375,0
529,0.125,0.0,-1.0,0.25,-0.125,1
530,0.0,0.0,-1.0,0.25,-0.125,2
531,0.0,0.0,-1.0,0.75,-0.125,1
532,0.125,0.0,-1.0,0.75,-0.125,5
